employee_id,first_name,last_name,email,phone,gender,date_of_birth,home_city,home_state,zip_code,hire_date,termination_date,employment_status,termination_type,termination_reason,department,job_title,job_level,employment_type,work_location,manager_id,annual_salary,last_promotion_date,performance_rating,engagement_score,education_level,record_last_updated
E10001,Owen,Chandler,owen.chandler@brightleaf-retail.example,,Male,9/8/1966,scottsdale,AZ,85260,6/14/1999,2/24/2023,Terminated,voluntary,Work-Life Balance,finance,Finance Manager,Manager,Full-Time,hq phoenix,E10162,114400,,3,,MS,9-Mar-23
E10002,Judy,Suzuki,judy.suzuki@brightleaf-retail.example,720-555-0109,Female,4/27/1969,Lakewood,CO,80233,3/31/2000,,Active,,,Sales,Senior Account Executive,Senior,F/T,Remote,E10590,105.0K,,4,5,B.S.,10/28/2025
E10003,Margaret,Fowler,margaret.fowler@brightleaf-retail.example,(512) 555-0169,Female,8/30/1962,cedar park,TX,78613,5/16/2000,,Active,,,Legal & Compliance,Compliance Analyst,Mid Level,Full Time,Remote - US,E10139,84200,5/13/2013,3,4.7,Associate's Degree,7/8/2026
E10004,Angela,Patel,angela.patel@brightleaf-retail.example,3035550111,Female,30-Aug-61,Littleton,CO,80124,16-Apr-01,,Active,,,Executive,Chief Technology Officer,C-Level,Full-Time,"Regional Office - Denver, CO",E10075,300250,,2,NA,Master's Degree,29-Jul-26
E10005,Johnny,Franco,johnny.franco@brightleaf-retail.example,512.555.0183,,29-Oct-70,Denver,CO,80247,14-May-01,,Active,,,Merchandising,SENIOR BUYER,Sr,Full-Time,"Regional Office - Denver, CO",,"$97,400 ",,4,3.6,Master's Degree,12-Jul-26
E10006,William,Simpson,william.simpson@brightleaf-retail.example,208 555 0185,Prefer not to say,13-Oct-72,Phoenix,AZ,85022,19-Nov-01,,ACTIVE,,,Marketing,Digital Marketing Specialist,Mid,Full-Time,"HQ - Phoenix, AZ",E19937,66550,23-May-10,3,3.7,,4-Nov-25
E10007,evelyn,Brooks,evelyn.brooks@brightleaf-retail.example,817.555.0154,Female,1-Feb-67,Dallas,TX,,7-Jan-02,27-Oct-22,Terminated,Involuntary,Attendance,Customer Service,Support Team Lead,Senior Level,Full-Time,"Regional Office - Dallas, TX",E10335,59250,18-Oct-13,2,1.8,Masters,8-Nov-22
E10008,Aaron,Griffith,AARON.GRIFFITH@BRIGHTLEAF-RETAIL.EXAMPLE,(703) 555-0197,Male,4/15/1971,Dallas,TX,75227-9181,1/28/2002,1/28/2026,Terminated,Voluntary,Better Opportunity,Customer Service,Customer Service Representative,Entry,full time,"Regional Office - Dallas, TX",E10353,39150,,2,3.6,Associate's Degree,2/9/2026
E10009,Keiko,Lucas,keiko.lucas@mailhub.example,(801) 555-0108,F,6/16/1977,Murray,UT,84115,2/4/2002,2/4/2026,Terminated,Voluntary,Compensation,Merchandising,Merchandising Asst.,Entry,FT,Remote,E10372,"$43,900 ",,3,4.2,bachelors degree,8-Feb-26
E10010,Erin,Guerra,erin.guerra@brightleaf-retail.example,3035550191,female,13-Sep-67,Aurora,CO,80012,29-Apr-02,,Active,,,Customer Service,Support Team Lead,Senior Level,FT,"Regional Office - Denver, CO",E10499,"62,100 USD",31-Jul-13,4,2.8,Bachelor's Degree,9-Aug-26
E10011,Juan,Sanders,juan.sanders@brightleaf-retail.example,(623) 555-0131,Male,14-Sep-75,Gilbert,AZ,85235,16-Oct-02,,Active,,,Sales,Account Executive,Mid,Full-Time,"HQ - Phoenix, AZ",E10002,81450,,4,2.7,BS,25-Jan-26
E10012,Marilyn,Campbell,marilyn.campbell@brightleaf-retail.example,206-555-0166,Female,10-Apr-72,Seattle,WA,98120,30-Aug-04,,Active,,,Marketing Dept,Brand Manager,Mgr,Full-Time,Remote,E10325,"$108,600.00 ",26-Dec-21,3,3.2,M.S.,20-Apr-26
E10013,CHERYL,Johnson,cheryl.johnson@brightleaf-retail.example,+1 978 555 0131,Female,5/10/1982,Dallas,TX,75202,12/13/2004,,Active,,,Merchandising,Buyer,Mid,Full-Time,"Regional Office - Dallas, TX",E10005,74100,,5,4.8,Bachelors,7/16/2026
E10014,Tobias,Peters,tobias.peters@brightleaf-retail.example,720.555.0127,Male,4/1/1970,Littleton,CO,80124,4/30/2005,,Active,,,FINANCE,Staff Accountant,Mid-level,Full-Time,Remote,E10614,"67,250",,3,3.7,,8/4/2026
E10015,Andrew,Contreras,andrew.contreras@brightleaf-retail.example,602-555-0123,male,7/11/1968,Glendale,Arizona,85308,12/23/2005,,Active,,,Human Resources,HR Business Partner,Senior Level,Full-Time,"HQ - Phoenix, AZ",E10374,"$95,350 ",,3,3.6,Bachelor's Degree,7/6/2026
E10016,Brianna,Ryan,brianna.ryan@brightleaf-retail.example,602.555.0175,Female,13-Mar-88,Phoenix,AZ,85007,1-May-06,,Active,,,Customer Support,Customer Service Representative,Entry,Part-Time,"HQ - Phoenix, AZ",E10629,23700,,5,4.4,High School,22-Jun-26
E10017,Karen,Allen,,602.555.0110,Female,9/7/1980,Phoenix,Arizona,85007,6/12/2006,,Active,,,Customer Service,Senior Customer Service Representative,mid,Full-Time,"HQ - Phoenix, AZ",E10010,"$48,050 ",,3,,Master's Degree,5/10/2026
E10018,Samantha,Lewis,samantha.lewis@brightleaf-retail.example,319 555 0180,Other,3/11/1971,Denver,CO,80202,8/28/2006,,Active,,,Marketing Dept,Brand Manager,Manager,Full-Time,"Regional Office - Denver, CO",E19182,"101,450",3/1/2011,4,3,Master's Degree,6/8/2026
